,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6,TRx_Total
0,Sonny,Field,Florida,Cholecap,2,11,20,20,7,15,170,187,195,141,177,175,1045.0
1,Liliane,Raff,South Carolina,Cholecap,9,13,14,19,16,3,168,140,117,194,167,185,971.0
2,Morgen,Raiman,Massachusetts,Cholecap,6,2,11,1,20,17,146,121,178,167,200,140,952.0
3,Allistir,Cutting,Tennessee,Cholecap,19,3,1,14,13,0,172,75,185,161,165,183,941.0
4,Claudianus,Cabbell,Ohio,Cholecap,8,14,16,4,1,15,192,129,158,141,176,127,923.0
5,Conny,Rydings,New York,Cholecap,11,11,6,0,19,11,172,197,140,159,111,139,918.0
6,Virginie,Sager,California,Cholecap,16,5,13,1,11,4,171,176,178,155,81,146,907.0
7,Midge,Balden,Iowa,Cholecap,16,16,19,12,11,13,194,156,135,136,159,119,899.0
8,Tillie,Callan,Virginia,Cholecap,17,19,0,4,6,17,154,188,190,49,186,114,881.0
9,Danika,Duligall,Massachusetts,Cholecap,16,12,12,19,7,12,187,90,91,151,163,191,873.0
10,Tris,Earl,Montana,Cholecap,10,7,15,7,16,5,103,179,114,151,168,146,861.0
11,Petey,Jindrich,Florida,Cholecap,10,19,7,4,20,16,199,89,91,194,147,136,856.0
12,Lettie,Vedekhin,Wisconsin,Cholecap,1,14,3,3,3,7,147,79,184,169,144,132,855.0
13,Christiane,Whelband,Idaho,Cholecap,9,14,19,13,9,11,155,174,146,185,114,77,851.0
14,Morey,Kumar,Florida,Cholecap,19,1,16,17,14,17,114,148,172,115,171,130,850.0
15,Morena,Tredgold,Illinois,Cholecap,6,19,5,3,0,12,181,130,192,79,160,105,847.0
16,Ebba,Fagge,Mississippi,Cholecap,3,8,9,12,3,10,115,181,138,91,141,179,845.0
17,Maris,Le Barre,New Jersey,Cholecap,11,6,0,16,12,11,169,87,99,180,128,181,844.0
18,Nadean,Northedge,California,Cholecap,11,15,5,9,3,7,65,198,163,170,53,195,844.0
19,Marketa,Keddle,Wisconsin,Cholecap,7,13,14,13,17,17,181,171,80,165,175,72,844.0
20,Annalise,Dugood,Ohio,Cholecap,7,12,7,3,1,8,180,159,188,31,176,108,842.0
21,Muffin,Aubin,New York,Cholecap,15,11,10,1,4,5,197,71,188,80,158,142,836.0
22,Karil,Grinyer,New York,Cholecap,8,0,8,18,17,11,133,123,173,79,136,190,834.0
