,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6,TRx_Total
0,Deena,Zumbusch,Maryland,Nova-itch,8,11,1,10,2,5,93,189,194,177,125,101,879.0
1,Taffy,Arthur,Alabama,Nova-itch,14,1,6,16,13,20,60,121,178,168,153,159,839.0
2,Damian,McAlindon,Iowa,Nova-itch,9,14,10,8,5,2,131,133,122,154,156,140,836.0
3,Xerxes,Whybrow,Pennsylvania,Nova-itch,3,15,0,15,7,19,117,190,13,158,162,191,831.0
4,Dael,De Ferraris,California,Nova-itch,3,18,0,5,12,2,195,159,67,105,123,181,830.0
5,Pancho,Leask,Pennsylvania,Nova-itch,4,12,8,3,14,16,154,162,123,23,191,174,827.0
6,Milton,Bryning,Arizona,Nova-itch,19,8,0,14,1,9,145,113,171,181,67,143,820.0
7,Alfonse,Spaxman,Ohio,Nova-itch,2,8,13,17,1,11,143,78,199,115,119,156,810.0
8,Berny,Mewrcik,Nebraska,Nova-itch,4,6,13,9,20,0,80,108,121,187,117,194,807.0
9,Ron,Screech,Texas,Nova-itch,8,14,1,2,16,14,169,190,199,32,194,19,803.0
10,Robina,Harrold,Tennessee,Nova-itch,9,18,20,15,9,4,183,103,197,186,117,13,799.0
11,Chrissie,De Bernardi,Utah,Nova-itch,9,17,15,7,5,17,38,154,154,183,131,137,797.0
12,Nealson,Spoerl,California,Nova-itch,1,4,15,20,2,16,181,151,163,47,92,162,796.0
13,Sidonia,Sainthill,Indiana,Nova-itch,6,10,3,4,16,14,127,189,168,182,106,19,791.0
14,Jeri,Swatman,Maryland,Nova-itch,6,17,13,20,0,0,139,149,84,81,137,189,779.0
15,Lynn,Tembridge,Michigan,Nova-itch,1,16,10,10,14,12,167,139,42,109,174,144,775.0
16,Sibley,Attree,Missouri,Nova-itch,10,8,1,20,4,1,148,87,185,125,65,156,766.0
17,Sibelle,Dunmuir,Missouri,Nova-itch,1,20,10,10,19,10,175,193,52,167,104,70,761.0
18,Karlen,Maxwell,New York,Nova-itch,5,13,13,3,15,2,51,134,148,93,193,137,756.0
19,Lena,Edinburough,Florida,Nova-itch,0,6,10,1,18,7,108,134,72,56,195,179,744.0
20,Lucia,Wright,Florida,Nova-itch,12,19,15,11,20,7,167,77,23,188,189,93,737.0
21,Major,Lucks,Texas,Nova-itch,11,9,12,12,7,14,4,185,178,139,137,93,736.0
22,Viv,MacKill,Kentucky,Nova-itch,12,14,9,0,3,8,133,168,25,188,20,200,734.0
23,Alexandra,Gantzer,Oklahoma,Nova-itch,17,19,18,9,3,4,182,59,59,150,199,83,732.0
24,Alikee,Huck,Texas,Nova-itch,10,8,3,7,19,16,77,155,124,184,99,91,730.0
25,Giovanna,Phripp,Alabama,Nova-itch,4,0,3,20,10,17,125,69,185,34,196,120,729.0
26,Gwenora,Fearenside,California,Nova-itch,19,15,6,1,15,12,76,156,121,110,148,114,725.0
27,Wynnie,Merrett,Arizona,Nova-itch,2,13,15,20,18,4,196,144,112,132,4,135,723.0
28,Blanca,Timberlake,Arizona,Nova-itch,8,1,9,16,12,16,36,116,156,76,172,151,707.0
29,Lily,Jacobovitch,Florida,Nova-itch,5,14,3,3,11,9,158,142,167,129,82,24,702.0
30,Rozina,Woodgate,Florida,Nova-itch,6,1,6,7,16,10,108,99,140,125,37,193,702.0
31,Jesse,Petters,California,Nova-itch,7,9,18,16,4,15,70,13,190,183,107,136,699.0
32,Mina,Rable,Texas,Nova-itch,3,14,14,4,16,13,148,152,106,130,31,132,699.0
33,Wayland,Deabill,New York,Nova-itch,5,6,9,17,3,0,32,144,125,57,182,151,691.0
34,Natalee,Whetton,Texas,Nova-itch,6,11,10,0,11,8,58,129,31,157,176,136,687.0
35,Elie,Stedson,Florida,Nova-itch,20,1,0,7,5,20,145,157,49,100,194,40,685.0
36,Cleon,Adair,Missouri,Nova-itch,10,3,12,5,14,15,174,76,162,195,67,8,682.0
37,Betty,Seeler,Alabama,Nova-itch,2,12,11,13,4,1,128,75,7,181,196,91,678.0
38,Marji,Bandey,Maryland,Nova-itch,15,6,10,19,10,6,184,43,76,137,103,135,678.0
39,Shantee,Kaming,Ohio,Nova-itch,9,7,20,12,10,12,184,121,37,174,38,122,676.0
40,Colly,Treslove,District of Columbia,Nova-itch,3,3,9,7,11,11,132,128,106,153,131,25,675.0
