,first_name,last_name,State,Product,NRx_Month_1,NRx_Month_2,NRx_Month_3,NRx_Month_4,NRx_Month_5,NRx_Month_6,TRx_Month_1,TRx_Month_2,TRx_Month_3,TRx_Month_4,TRx_Month_5,TRx_Month_6,TRx_Total
0,Ericha,O' Faherty,Colorado,Zap-a-Pain,4,11,1,18,19,8,169,174,159,167,200,128,997.0
1,Edin,Monkton,Nebraska,Zap-a-Pain,20,17,10,16,10,17,165,200,167,191,79,159,961.0
2,Rosabella,Berthe,Ohio,Zap-a-Pain,10,17,8,0,3,3,175,159,158,166,186,108,952.0
3,Keelia,Leethem,Arkansas,Zap-a-Pain,14,6,17,6,17,18,177,171,172,133,136,161,950.0
4,Alicia,Pyrah,Georgia,Zap-a-Pain,10,4,17,7,3,12,175,153,159,114,149,193,943.0
5,Benjy,Silverson,Texas,Zap-a-Pain,7,7,13,4,16,4,182,74,161,134,196,164,911.0
6,Berk,Lounds,Missouri,Zap-a-Pain,5,18,3,16,0,7,134,150,189,138,132,167,910.0
7,Jilli,Macrow,Virginia,Zap-a-Pain,14,5,11,12,11,8,170,174,172,65,169,143,893.0
8,Vanda,Brastead,Ohio,Zap-a-Pain,2,6,13,1,10,20,172,191,173,69,114,151,870.0
9,Kath,Jesteco,California,Zap-a-Pain,0,14,7,17,4,0,130,169,113,157,152,146,867.0
10,Andros,Merchant,Texas,Zap-a-Pain,10,19,11,11,8,4,137,164,45,185,171,163,865.0
11,Britte,Braven,North Carolina,Zap-a-Pain,19,7,11,14,11,16,104,140,115,189,118,198,864.0
12,Amelina,Lawson,Washington,Zap-a-Pain,18,12,2,3,5,15,195,107,150,161,194,55,862.0
13,Ericka,Swarbrick,Tennessee,Zap-a-Pain,9,6,0,6,17,14,78,198,33,200,145,198,852.0
14,Prent,McCahill,Georgia,Zap-a-Pain,0,14,9,18,18,17,139,108,184,121,147,144,843.0
15,Kat,Oxford,Missouri,Zap-a-Pain,13,13,18,16,17,3,37,183,182,183,130,122,837.0
16,Pavel,Upsale,Arkansas,Zap-a-Pain,17,20,6,13,11,11,182,175,176,2,185,117,837.0
17,Gwenny,Viner,Florida,Zap-a-Pain,0,19,15,20,3,15,115,176,200,80,81,178,830.0
18,Abby,Dinwoodie,California,Zap-a-Pain,14,19,13,6,18,11,141,131,170,168,177,37,824.0
19,Melvin,Dumelow,Virginia,Zap-a-Pain,4,18,13,20,20,10,189,83,168,137,189,57,823.0
20,Say,Calvey,Georgia,Zap-a-Pain,4,15,15,6,4,16,153,90,170,91,157,160,821.0
21,Calida,Devine,Tennessee,Zap-a-Pain,19,10,20,17,20,9,107,66,169,124,177,178,821.0
22,Kikelia,Whale,Indiana,Zap-a-Pain,6,3,20,19,13,18,92,172,192,83,145,136,820.0
