351,Henka,Roches,Minnesota,Zap-a-Pain,8,2,19,4,4,4,185,30,168,62,29,63
352,Wyn,Biaggiotti,Maryland,Zap-a-Pain,15,20,20,8,16,2,192,158,75,80,30,33
353,Dewey,Helder,Florida,Zap-a-Pain,13,8,3,0,1,4,173,114,2,39,27,21
354,Dorris,Brafield,Louisiana,Zap-a-Pain,0,16,3,17,5,14,184,15,21,122,161,32
355,Doris,Fullilove,Delaware,Zap-a-Pain,6,19,8,19,10,7,85,89,135,93,80,69
356,Ingrid,Messer,Texas,Zap-a-Pain,19,12,1,9,9,7,90,126,176,39,50,198
357,Alano,Adams,Florida,Zap-a-Pain,13,0,19,15,6,13,51,66,91,7,128,181
358,Barb,Huriche,Louisiana,Zap-a-Pain,6,12,4,6,18,20,192,26,158,87,5,118
359,Prissie,Benham,New York,Zap-a-Pain,12,5,11,0,12,6,113,115,58,23,7,52
360,Aubrey,Lyddiard,Texas,Zap-a-Pain,2,19,14,11,2,16,92,108,172,20,89,129
361,Levy,Inkpin,Florida,Zap-a-Pain,11,16,0,18,12,4,75,179,83,146,39,144
362,Xavier,Pascoe,Illinois,Zap-a-Pain,9,17,16,1,3,8,3,161,144,199,197,30
363,Jamesy,Soares,Illinois,Zap-a-Pain,2,19,6,8,9,12,4,35,111,118,138,171
364,Zorah,Axleby,Tennessee,Zap-a-Pain,13,14,5,19,3,7,134,46,60,4,162,59
365,Nobie,Le Port,Florida,Zap-a-Pain,5,17,9,10,19,16,97,19,155,109,164,33
366,Maxim,Windless,California,Zap-a-Pain,20,11,19,3,6,9,1,104,34,55,60,65
367,Bren,Frood,Missouri,Zap-a-Pain,15,13,10,18,2,11,79,125,86,19,186,92
368,Brendon,Richards,Nebraska,Zap-a-Pain,8,2,13,19,11,11,154,2,24,169,56,67
369,Kelcey,Lonie,Texas,Zap-a-Pain,7,19,10,19,8,8,189,70,180,139,16,127
370,Mack,Pavkovic,Oregon,Zap-a-Pain,4,6,0,19,8,17,118,39,191,127,59,1
371,Whitman,Duiged,California,Zap-a-Pain,9,4,10,9,8,10,27,58,130,192,145,186
372,Dorian,Reeme,Indiana,Zap-a-Pain,6,3,2,15,6,2,186,168,29,180,56,56
373,Nicoli,Briffett,Colorado,Zap-a-Pain,13,6,3,4,3,15,183,152,130,2,117,69
374,Wheeler,Capes,California,Zap-a-Pain,4,6,18,20,4,20,69,158,79,108,199,196
375,Lucine,Beaten,New York,Zap-a-Pain,16,5,13,17,20,20,102,77,167,142,61,179
376,Dorri,Amys,Utah,Zap-a-Pain,1,6,8,9,18,16,5,17,51,12,162,80
377,Karil,Antoszczyk,West Virginia,Zap-a-Pain,9,18,0,8,7,10,32,36,113,35,4,78
378,Arlee,Sowrey,Virginia,Zap-a-Pain,3,4,4,12,6,3,28,193,145,190,18,99
379,Zaria,Lidgley,Louisiana,Zap-a-Pain,16,15,18,4,8,19,29,192,193,67,178,82
380,Shem,Kither,Ohio,Zap-a-Pain,6,11,5,20,19,16,170,97,156,8,184,167
381,Molli,Kurth,Texas,Zap-a-Pain,10,3,5,19,17,12,145,51,138,129,10,160
382,Ramsay,Pettendrich,Florida,Zap-a-Pain,12,4,4,10,20,1,198,108,176,36,60,29
383,Noelle,Glazebrook,Colorado,Zap-a-Pain,7,16,4,4,2,5,140,149,62,47,181,33
384,Kikelia,Whale,Indiana,Zap-a-Pain,6,3,20,19,13,18,92,172,192,83,145,136
385,Vince,Fagge,Indiana,Zap-a-Pain,13,7,0,13,2,14,110,200,159,144,19,27
386,Jolynn,Polhill,New Jersey,Zap-a-Pain,10,10,3,0,1,19,70,72,185,46,130,58
387,Kit,de Guerre,New York,Zap-a-Pain,5,11,6,14,7,15,53,92,64,185,109,156
388,Boony,Vann,New York,Zap-a-Pain,19,16,7,8,19,7,164,96,49,26,191,68
389,Pancho,Devenny,Arkansas,Zap-a-Pain,1,10,16,9,6,19,10,37,156,137,15,30
390,Mischa,Hebblewhite,Florida,Zap-a-Pain,0,12,16,4,14,2,58,157,179,191,63,161
391,Shea,Sarten,District of Columbia,Zap-a-Pain,3,1,6,15,4,4,160,123,156,75,138,168
392,Sherwin,Pittman,Oklahoma,Zap-a-Pain,17,15,20,3,19,18,50,139,123,32,118,185
393,Rustin,Kleynermans,Arizona,Zap-a-Pain,17,5,4,15,10,10,139,95,132,51,9,148
394,Benny,Goodoune,Indiana,Zap-a-Pain,8,14,16,18,20,8,61,21,18,43,101,129
395,Sarah,Wilkowski,New York,Zap-a-Pain,12,13,3,20,8,19,23,120,168,4,56,20
396,Benjy,Silverson,Texas,Zap-a-Pain,7,7,13,4,16,4,182,74,161,134,196,164
397,Clarice,Howard,North Carolina,Zap-a-Pain,19,20,12,13,7,18,151,116,37,157,42,198
398,Adelice,Biagioni,Missouri,Zap-a-Pain,5,3,1,16,20,0,98,39,122,13,153,52
399,Oralla,Vise,Pennsylvania,Zap-a-Pain,5,17,20,4,11,12,28,97,128,111,56,56
400,Dot,Rozycki,California,Zap-a-Pain,2,7,2,5,12,11,31,135,148,27,77,61
401,Tymon,Chiese,California,Zap-a-Pain,2,17,15,17,4,2,8,107,116,9,47,6
402,Adeline,Hellier,New York,Zap-a-Pain,7,13,11,9,5,2,100,17,143,27,182,66
403,Lane,Crut,California,Zap-a-Pain,20,17,0,5,15,10,82,179,3,128,9,154
404,Alison,Chippin,Minnesota,Zap-a-Pain,17,17,17,15,12,12,140,47,101,38,16,171
405,Rita,Sherreard,Florida,Zap-a-Pain,3,3,8,13,7,13,64,196,52,156,21,64
406,Veronique,Drewry,Louisiana,Zap-a-Pain,14,8,7,0,1,17,12,50,113,68,115,139
407,Sheri,Batchellor,Virginia,Zap-a-Pain,10,8,2,7,0,20,58,125,171,122,136,160
408,Rosabella,Berthe,Ohio,Zap-a-Pain,10,17,8,0,3,3,175,159,158,166,186,108
409,Rea,Quartly,District of Columbia,Zap-a-Pain,20,12,4,4,12,9,26,78,123,88,164,55
410,Roselia,Cuttelar,Washington,Zap-a-Pain,1,17,1,0,20,15,17,39,123,25,137,52
411,Filberte,Mordin,Texas,Zap-a-Pain,16,0,13,19,10,14,103,113,48,26,134,66
412,Ethelda,Brandreth,Texas,Zap-a-Pain,1,14,2,18,7,6,164,31,164,139,27,141
413,Hayward,Barclay,Virginia,Zap-a-Pain,5,0,5,1,15,9,97,75,120,52,154,74
414,Regan,Poker,Arkansas,Zap-a-Pain,5,11,4,8,14,5,27,3,81,88,71,133
415,Nanine,Monckman,Kentucky,Zap-a-Pain,13,16,5,11,5,0,168,137,196,47,94,92
416,Eugine,Simcock,Louisiana,Zap-a-Pain,1,18,16,11,3,15,94,80,116,128,25,37
417,Vivie,Durrant,Indiana,Zap-a-Pain,16,3,11,6,18,15,102,84,98,19,66,71
